epoch,step,train/loss,train/reward,val/reward
0,49,-38.80029296875,-322.625,
0,83,,,-333.35101318359375
1,99,5564.9013671875,-313.0,
1,149,4355.5859375,-303.5833435058594,
1,167,,,-332.09600830078125
2,199,5738.4482421875,-305.0833435058594,
2,249,6668.3818359375,-307.875,
2,251,,,-320.34698486328125
3,299,2368.40576171875,-308.0,
3,335,,,-320.29901123046875
4,349,2561.78857421875,-311.29168701171875,
4,399,2719.1787109375,-306.25,
4,419,,,-313.364013671875
5,449,61.521812438964844,-311.04168701171875,
5,499,132.07138061523438,-311.5833435058594,
5,503,,,-316.2170104980469
6,549,1479.4638671875,-310.29168701171875,
6,587,,,-309.63299560546875
7,599,-230.2900390625,-309.79168701171875,
7,649,-402.43060302734375,-303.375,
7,671,,,-315.8529968261719
8,699,226.99449157714844,-307.66668701171875,
8,749,-769.8295288085938,-311.54168701171875,
8,755,,,-318.6839904785156
9,799,1329.041259765625,-307.2083435058594,
9,839,,,-317.7090148925781
10,849,-81.55522155761719,-310.375,
10,899,225.21429443359375,-310.91668701171875,
10,923,,,-309.2799987792969
11,949,-3372.58935546875,-315.0,
11,999,-1458.2401123046875,-318.25,
11,1007,,,-323.6929931640625
12,1049,-432.0855407714844,-304.7083435058594,
12,1091,,,-302.85699462890625
13,1099,-1424.760009765625,-304.8333435058594,
13,1149,-2219.822998046875,-311.2083435058594,
13,1175,,,-304.7340087890625
14,1199,-579.23779296875,-303.75,
14,1249,155.83685302734375,-300.9583435058594,
14,1259,,,-304.3890075683594
15,1299,-365.36883544921875,-302.41668701171875,
15,1343,,,-300.87701416015625
16,1349,-582.7388305664062,-307.2083435058594,
16,1399,1044.8548583984375,-296.16668701171875,
16,1427,,,-308.1029968261719
17,1449,-309.1268310546875,-302.54168701171875,
17,1499,219.16976928710938,-296.54168701171875,
17,1511,,,-301.9070129394531
18,1549,337.2082214355469,-302.5,
18,1595,,,-303.96600341796875
19,1599,221.8280487060547,-299.875,
19,1649,268.8011474609375,-303.54168701171875,
19,1679,,,-301.70098876953125
20,1699,409.28216552734375,-301.4583435058594,
20,1749,-1521.0009765625,-307.41668701171875,
20,1763,,,-306.2980041503906
21,1799,116.40957641601562,-306.5833435058594,
21,1847,,,-300.3789978027344
22,1849,-255.0100555419922,-301.375,
22,1899,-67.51863098144531,-296.41668701171875,
22,1931,,,-298.697998046875
23,1949,-528.3053588867188,-301.8333435058594,
23,1999,-2534.92626953125,-306.54168701171875,
23,2015,,,-298.8680114746094
24,2049,4.486104488372803,-297.625,
24,2099,599.2188720703125,-301.75,
24,2099,,,-298.27398681640625
25,2149,-500.1705017089844,-295.75,
25,2183,,,-297.08599853515625
26,2199,-1237.4154052734375,-302.5833435058594,
26,2249,-230.34237670898438,-297.5833435058594,
26,2267,,,-298.65301513671875
27,2299,-1216.717041015625,-306.04168701171875,
27,2349,-192.91506958007812,-299.125,
27,2351,,,-297.4010009765625
28,2399,-1219.544921875,-305.75,
28,2435,,,-304.3659973144531
29,2449,-1122.79150390625,-306.0833435058594,
29,2499,-772.0648193359375,-302.8333435058594,
29,2519,,,-299.7969970703125
30,2549,-400.8411560058594,-299.41668701171875,
30,2599,-251.73619079589844,-298.875,
30,2603,,,-297.87799072265625
31,2649,-764.72216796875,-302.125,
31,2687,,,-296.7860107421875
32,2699,-1026.9881591796875,-303.79168701171875,
32,2749,-266.6782531738281,-298.125,
32,2771,,,-297.8190002441406
33,2799,-265.9552001953125,-296.0,
33,2849,-159.88824462890625,-295.4583435058594,
33,2855,,,-295.8139953613281
34,2899,-535.015625,-298.625,
34,2939,,,-303.8599853515625
35,2949,-1465.416748046875,-309.375,
35,2999,-1190.42578125,-301.0833435058594,
35,3023,,,-298.41900634765625
36,3049,-1015.3463745117188,-296.875,
36,3099,-1192.904541015625,-304.9583435058594,
36,3107,,,-297.6600036621094
37,3149,-167.21185302734375,-296.0,
37,3191,,,-299.2619934082031
38,3199,-1897.08544921875,-304.25,
38,3249,-865.4111328125,-301.625,
38,3275,,,-297.14801025390625
39,3299,-1388.671142578125,-302.75,
39,3349,-477.1689453125,-299.79168701171875,
39,3359,,,-296.5060119628906
40,3399,-1455.28564453125,-300.16668701171875,
40,3443,,,-297.7879943847656
41,3449,-290.04669189453125,-300.16668701171875,
41,3499,-41.89780807495117,-297.4583435058594,
41,3527,,,-298.3320007324219
42,3549,-175.40890502929688,-300.0833435058594,
42,3599,-516.7833251953125,-294.2083435058594,
42,3611,,,-297.6860046386719
43,3649,-243.26934814453125,-300.79168701171875,
43,3695,,,-299.8030090332031
44,3699,-543.1442260742188,-298.75,
44,3749,-205.061767578125,-300.5,
44,3779,,,-298.4230041503906
45,3799,-1093.9017333984375,-302.16668701171875,
45,3849,-1020.211669921875,-298.7083435058594,
45,3863,,,-297.02301025390625
46,3899,-926.025146484375,-300.79168701171875,
46,3947,,,-295.8290100097656
47,3949,-64.45055389404297,-299.875,
47,3999,142.9093017578125,-297.125,
47,4031,,,-295.9519958496094
48,4049,-468.14764404296875,-299.875,
48,4099,-287.7318420410156,-297.375,
48,4115,,,-295.84600830078125
49,4149,-543.251953125,-300.125,
49,4199,-367.8522644042969,-300.25,
49,4199,,,-297.22100830078125
50,4249,-700.66455078125,-302.0833435058594,
50,4283,,,-298.24798583984375
51,4299,-1000.4193725585938,-301.875,
51,4349,-100.61798095703125,-297.0,
51,4367,,,-296.4330139160156
52,4399,-264.81353759765625,-298.8333435058594,
52,4449,-383.146484375,-298.625,
52,4451,,,-297.7980041503906
